Domain,Area,Element,Item,Year,Unit,Value
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,1993,index,12
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,1994,index,10
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,1995,index,9
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,1996,index,10
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,1997,index,27
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,1998,index,31
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,1999,index,21
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2000,index,19
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2001,index,20
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2002,index,24
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2003,index,24
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2004,index,17
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2005,index,31
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2006,index,35
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2007,index,36
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2008,index,48
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2009,index,41
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2010,index,53
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2011,index,62
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2012,index,75
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2013,index,82
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2014,index,93
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2015,index,106
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2016,index,102
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2017,index,119
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2018,index,91
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2019,index,133
Trade Indices,Estonia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2020,index,145
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1961,index,10
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1962,index,10
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1963,index,12
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1964,index,14
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1965,index,15
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1966,index,15
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1967,index,21
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1968,index,22
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1969,index,24
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1970,index,27
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1971,index,26
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1972,index,29
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1973,index,29
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1974,index,29
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1975,index,27
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1976,index,32
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1977,index,34
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1978,index,36
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1979,index,36
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1980,index,44
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1981,index,48
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1982,index,53
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1983,index,51
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1984,index,51
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1985,index,53
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1986,index,64
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1987,index,64
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1988,index,54
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1989,index,58
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1990,index,64
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1991,index,68
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1992,index,53
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1993,index,47
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1994,index,42
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1995,index,40
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1996,index,39
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1997,index,75
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1998,index,66
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,1999,index,69
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2000,index,127
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2001,index,54
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2002,index,52
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2003,index,61
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2004,index,131
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2005,index,51
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2006,index,90
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2007,index,119
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2008,index,42
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2009,index,39
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2010,index,48
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2011,index,43
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2012,index,40
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2013,index,79
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2014,index,87
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2015,index,122
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2016,index,91
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2017,index,76
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2018,index,92
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2019,index,119
Trade Indices,Eswatini,Export Quantity Index (2014-2016 = 100),Agricultural Products,2020,index,105
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,1993,index,8
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,1994,index,11
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,1995,index,10
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,1996,index,14
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,1997,index,12
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,1998,index,14
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,1999,index,15
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2000,index,20
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2001,index,14
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2002,index,32
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2003,index,25
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2004,index,34
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2005,index,47
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2006,index,44
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2007,index,44
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2008,index,58
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2009,index,71
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2010,index,68
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2011,index,69
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2012,index,83
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2013,index,97
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2014,index,116
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2015,index,109
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2016,index,75
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2017,index,76
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2018,index,58
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2019,index,75
Trade Indices,Ethiopia,Export Quantity Index (2014-2016 = 100),Agricultural Products,2020,index,70
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1961,index,0
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1962,index,0
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1963,index,0
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1964,index,0
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1966,index,0
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1967,index,0
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1980,index,6
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1981,index,3
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1982,index,1
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1985,index,1
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1986,index,3
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1987,index,3
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1988,index,5
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1989,index,7
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1990,index,1
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1991,index,7
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1992,index,6
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1993,index,5
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1994,index,60
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1995,index,199
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1996,index,148
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1997,index,215
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1998,index,219
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,1999,index,156
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2000,index,405
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2001,index,396
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2002,index,134
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2003,index,235
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2004,index,438
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2005,index,678
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2006,index,905
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2007,index,993
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2008,index,290
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2009,index,240
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2010,index,241
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2011,index,282
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2012,index,425
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2013,index,169
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2014,index,231
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2015,index,53
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2016,index,16
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2017,index,150
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2018,index,201
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2019,index,575
Trade Indices,Faroe Islands,Export Quantity Index (2014-2016 = 100),Agricultural Products,2020,index,985
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1961,index,73
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1962,index,94
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1963,index,124
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1964,index,141
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1965,index,133
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1966,index,105
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1967,index,135
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1968,index,147
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1969,index,138
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1970,index,143
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1971,index,143
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1972,index,118
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1973,index,117
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1974,index,109
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1975,index,106
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1976,index,105
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1977,index,136
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1978,index,125
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1979,index,175
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1980,index,179
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1981,index,166
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1982,index,168
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1983,index,141
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1984,index,156
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1985,index,166
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1986,index,135
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1987,index,172
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1988,index,164
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1989,index,161
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1990,index,162
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1991,index,173
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1992,index,153
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1993,index,178
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1994,index,186
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1995,index,179
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1996,index,202
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1997,index,127
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1998,index,99
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,1999,index,121
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2000,index,131
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2001,index,118
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2002,index,122
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2003,index,117
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2004,index,107
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2005,index,134
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2006,index,116
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2007,index,107
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2008,index,123
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2009,index,93
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2010,index,61
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2011,index,68
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2012,index,79
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2013,index,64
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2014,index,125
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2015,index,96
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2016,index,79
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2017,index,117
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2018,index,73
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2019,index,110
Trade Indices,Fiji,Export Quantity Index (2014-2016 = 100),Agricultural Products,2020,index,81
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1961,index,11
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1962,index,11
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1963,index,9
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1964,index,8
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1965,index,7
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1966,index,11
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1967,index,10
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1968,index,11
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1969,index,21
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1970,index,26
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1971,index,24
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1972,index,39
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1973,index,26
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1974,index,19
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1975,index,14
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1976,index,37
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1977,index,57
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1978,index,24
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1979,index,24
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1980,index,23
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1981,index,30
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1982,index,24
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1983,index,33
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1984,index,78
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1985,index,62
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1986,index,64
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1987,index,42
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1988,index,18
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1989,index,43
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1990,index,56
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1991,index,97
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1992,index,71
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1993,index,83
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1994,index,110
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1995,index,60
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1996,index,70
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1997,index,89
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1998,index,75
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,1999,index,62
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2000,index,60
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2001,index,91
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2002,index,83
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2003,index,81
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2004,index,74
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2005,index,68
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2006,index,78
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2007,index,94
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2008,index,87
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2009,index,72
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2010,index,93
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2011,index,114
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2012,index,92
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2013,index,86
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2014,index,105
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2015,index,100
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2016,index,95
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2017,index,85
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2018,index,69
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2019,index,83
Trade Indices,Finland,Export Quantity Index (2014-2016 = 100),Agricultural Products,2020,index,94
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1961,index,13
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1962,index,10
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1963,index,14
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1964,index,17
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1965,index,19
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1966,index,20
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1967,index,18
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1968,index,25
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1969,index,29
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1970,index,27
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1971,index,30
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1972,index,37
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1973,index,41
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1974,index,43
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1975,index,34
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1976,index,37
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1977,index,33
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1978,index,42
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1979,index,47
Trade Indices,France,Export Quantity Index (2014-2016 = 100),Agricultural Products,1980,index,53
